,PDB1,Bound_Unbound,Max_Seq_H_ID_TrainvBenchmark,Max_Seq_L_ID_TrainvBenchmark,Max_Seq_H_ID_Benchmark_v_Benchmark,Max_Seq_L_ID_Benchmark_v_Benchmark
127,8ek1_2.pdb,bound,0.9916666666666668,1.0,0.7886178861788617,0.8878504672897196
128,8ek1_1.pdb,bound,0.9916666666666668,1.0,0.7886178861788617,0.8878504672897196
129,7ru5_0.pdb,bound,0.8629032258064516,0.9626168224299064,0.7338709677419355,0.8888888888888888
130,7ru3_0.pdb,bound,0.853448275862069,0.97196261682243,0.7264957264957265,0.8990825688073395
131,7u0x_1.pdb,bound,0.8449612403100775,0.9636363636363636,0.813953488372093,0.6636363636363637
132,7x3n_1.pdb,bound,0.8947368421052632,0.9065420560747663,0.8050847457627118,0.8504672897196262
133,7x3n_0.pdb,bound,0.8947368421052632,0.9065420560747663,0.8050847457627118,0.8504672897196262
134,7y0g_1.pdb,bound,0.8947368421052632,0.9065420560747663,0.8050847457627118,0.8504672897196262
135,7xcz_1.pdb,bound,0.8666666666666667,0.9351851851851852,0.784,0.8703703703703703
136,7xdb_0.pdb,bound,0.8907563025210085,0.9439252336448598,0.773109243697479,0.9339622641509434
137,7xdk_1.pdb,bound,0.88,0.9722222222222222,0.8617886178861789,0.897196261682243
138,8dg9_0.pdb,bound,0.8264462809917356,0.8738738738738738,0.7583333333333333,0.8108108108108109
139,7uvh_1.pdb,bound,0.8278688524590164,0.9166666666666666,0.7560975609756098,0.7981651376146789
140,7z2m_1.pdb,bound,0.9338842975206612,0.9345794392523364,0.8319327731092437,0.8504672897196262
141,7z2m_2.pdb,bound,0.9338842975206612,0.9345794392523364,0.8319327731092437,0.8504672897196262
142,7z2m_3.pdb,bound,0.9338842975206612,0.9345794392523364,0.8319327731092437,0.8504672897196262
143,7x8p_0.pdb,bound,0.7698412698412699,0.7547169811320755,0.746031746031746,0.6851851851851852
144,7x8t_0.pdb,bound,0.7698412698412699,0.8018867924528302,0.753968253968254,0.7222222222222222
145,8hhx_0.pdb,bound,0.9090909090909092,0.972972972972973,0.8536585365853658,0.6636363636363637
146,7ycl_1.pdb,bound,0.8688524590163934,0.925925925925926,0.7622950819672131,0.8878504672897196
147,8hhz_1.pdb,bound,0.8677685950413223,0.963963963963964,0.744,0.6727272727272727
148,8hhz_0.pdb,bound,0.8677685950413223,0.963963963963964,0.744,0.6727272727272727
149,7tn9_0.pdb,bound,0.875,0.9734513274336284,0.7899159663865546,0.7964601769911505
150,8dxu_1.pdb,bound,0.8524590163934426,0.9,0.7666666666666667,0.8818181818181818
